Subject,Trial,Angle,Matching,Response,Time,Correct,Age,Sex
23,19,50,0,n,2197,1,18,M
23,20,50,1,b,1655,1,18,M
23,21,100,0,n,3158,1,18,M
23,22,0,0,n,2706,1,18,M
23,23,0,1,b,1000,1,18,M
23,24,150,0,n,1918,1,18,M
23,25,150,0,b,2969,0,18,M
23,26,50,0,n,2115,1,18,M
23,27,50,1,n,2460,0,18,M
23,28,100,1,n,2350,0,18,M
23,29,0,1,b,983,1,18,M
23,30,0,0,n,1342,1,18,M
23,31,150,1,n,3769,0,18,M
23,32,100,0,n,1723,1,18,M
23,33,50,1,n,1990,0,18,M
23,34,100,1,b,2810,1,18,M
23,35,150,1,n,2350,0,18,M
23,36,0,0,b,2055,0,18,M
23,37,100,1,n,2844,0,18,M
23,38,150,0,n,2714,1,18,M
23,39,0,1,b,1084,1,18,M
23,40,50,0,n,1058,1,18,M
23,41,150,1,b,2713,1,18,M
23,42,0,0,n,1023,1,18,M
23,43,100,1,b,2770,1,18,M
23,44,150,0,n,2413,1,18,M
23,45,50,0,n,1506,1,18,M
23,46,100,0,b,2622,0,18,M
23,47,0,1,b,1159,1,18,M
23,48,50,1,b,1901,1,18,M
23,49,100,0,n,1610,1,18,M
23,50,150,0,n,1973,1,18,M
23,51,0,1,b,1078,1,18,M
23,52,0,0,n,1024,1,18,M
23,53,100,1,n,3017,0,18,M
23,54,50,0,n,1553,1,18,M
23,55,150,1,b,2951,1,18,M
23,56,50,1,b,1729,1,18,M
23,57,150,0,n,994,1,18,M
23,58,100,0,n,3067,1,18,M
23,59,150,1,b,2131,1,18,M
23,60,100,1,b,2617,1,18,M
23,61,0,1,b,1692,1,18,M
23,62,0,0,n,738,1,18,M
23,63,50,0,n,984,1,18,M
23,64,50,1,b,1461,1,18,M
23,65,150,0,n,2092,1,18,M
